CNT,ST004D01T,ST250Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,HISCED,ICTRES,ESCS,PV1MATH,PV1READ,PV1SCIE
ARG,1.0,1.0,1.0,,1.0,2.0,-0.0356,-2.6412,267.284,278.114,270.838
ARG,1.0,2.0,2.0,2.0,1.0,2.0,-1.9138,-2.8193,325.08,234.937,344.502
ARG,2.0,1.0,1.0,1.0,1.0,10.0,0.4131,1.1984,568.837,453.497,502.033
ARG,1.0,1.0,1.0,1.0,1.0,7.0,-0.4264,-0.3678,405.543,376.766,387.4
ARG,1.0,2.0,1.0,1.0,1.0,7.0,-1.3121,-0.0698,335.668,368.537,289.349
ARG,2.0,1.0,2.0,1.0,1.0,5.0,-1.3819,-1.7731,262.723,218.076,335.39
ARG,2.0,1.0,1.0,1.0,1.0,7.0,-0.3585,-0.7193,499.787,497.149,422.71
ARG,2.0,1.0,2.0,2.0,2.0,3.0,-2.7067,-2.6085,398.763,432.538,442.02
ARG,1.0,2.0,2.0,2.0,1.0,6.0,-2.1235,-2.0439,424.734,523.125,492.687
ARG,2.0,2.0,2.0,2.0,1.0,6.0,-2.1614,-1.4999,463.394,436.457,435.014
ARG,1.0,2.0,1.0,2.0,1.0,5.0,-1.1762,-1.5627,344.796,242.185,305.678
ARG,2.0,2.0,1.0,1.0,1.0,9.0,-0.1763,0.1458,451.126,404.682,516.888
ARG,1.0,1.0,1.0,1.0,1.0,10.0,-0.8708,0.3562,401.856,475.31,431.76
ARG,2.0,1.0,1.0,1.0,1.0,10.0,-1.0837,0.3746,342.452,313.581,410.337
ARG,2.0,,,,,,,,320.912,405.746,324.357
ARG,1.0,1.0,2.0,1.0,1.0,7.0,-1.143,-1.2584,400.632,356.276,340.271
ARG,1.0,2.0,2.0,2.0,2.0,7.0,-2.5408,-1.3322,251.534,341.228,235.213
ARG,1.0,2.0,1.0,2.0,1.0,6.0,-1.0027,-1.5685,366.434,378.202,363.762
ARG,1.0,1.0,1.0,,,2.0,-1.5362,-2.7372,335.569,320.933,331.497
ARG,2.0,2.0,1.0,1.0,1.0,5.0,-1.0061,-1.6401,386.811,383.815,370.34
ARG,2.0,1.0,2.0,2.0,1.0,3.0,-1.9303,-2.0845,312.648,359.007,327.222
ARG,2.0,1.0,1.0,1.0,1.0,8.0,-0.9709,-0.1504,394.822,412.027,460.982
ARG,1.0,1.0,1.0,1.0,1.0,9.0,-0.083,0.1333,516.686,560.454,527.244
ARG,2.0,1.0,1.0,1.0,1.0,9.0,-0.4797,0.5343,418.234,396.993,422.553
ARG,1.0,1.0,2.0,2.0,1.0,10.0,-1.4683,-0.3414,409.77,387.927,453.386
ARG,2.0,2.0,2.0,2.0,2.0,3.0,-1.6199,-2.2811,412.919,398.909,408.898
ARG,2.0,1.0,2.0,2.0,1.0,2.0,-1.7765,-2.8236,413.447,284.612,433.716
ARG,1.0,1.0,1.0,2.0,1.0,2.0,-1.3741,-2.044,390.658,351.703,452.778
ARG,1.0,1.0,1.0,1.0,1.0,7.0,-0.2489,-0.4055,428.402,518.698,489.408
ARG,2.0,1.0,1.0,2.0,1.0,7.0,-0.3424,-0.1006,336.592,373.777,471.787
ARG,1.0,2.0,2.0,2.0,1.0,10.0,-1.8204,-1.0037,416.356,472.714,502.673
ARG,1.0,1.0,2.0,2.0,1.0,9.0,-0.5983,0.2343,377.346,283.178,409.851
ARG,2.0,1.0,2.0,2.0,1.0,10.0,-0.8008,0.4069,421.389,354.136,410.31
ARG,1.0,1.0,1.0,1.0,1.0,6.0,-0.3401,-0.4098,413.639,564.07,452.248
ARG,2.0,1.0,1.0,1.0,1.0,10.0,0.3729,1.2023,445.692,577.079,538.14
ARG,1.0,2.0,1.0,1.0,1.0,5.0,-1.6246,-1.6554,306.193,382.924,335.634
ARG,1.0,1.0,1.0,2.0,1.0,10.0,-1.426,0.3986,447.682,382.716,442.053
ARG,2.0,1.0,1.0,1.0,1.0,7.0,-0.7955,0.1187,412.896,485.492,425.088
ARG,2.0,2.0,2.0,1.0,2.0,8.0,-2.2097,-0.2793,459.176,397.033,441.063
ARG,1.0,2.0,1.0,1.0,1.0,3.0,-0.648,-1.2755,369.565,336.119,305.886
ARG,2.0,2.0,2.0,1.0,1.0,6.0,-1.5685,-1.4301,351.925,333.018,439.854
ARG,1.0,1.0,2.0,2.0,1.0,10.0,-1.4897,-0.5622,450.088,478.827,581.145
ARG,2.0,1.0,1.0,1.0,1.0,10.0,-0.0067,-0.3526,386.862,423.75,433.73
ARG,2.0,2.0,2.0,2.0,1.0,3.0,-2.1511,-2.2204,302.275,362.142,303.562
ARG,2.0,1.0,1.0,2.0,1.0,8.0,-0.9601,-0.4653,334.675,272.025,418.883
ARG,1.0,1.0,2.0,2.0,1.0,6.0,-1.1874,-1.4929,428.664,365.224,424.773
ARG,2.0,1.0,1.0,1.0,1.0,2.0,-0.6343,-2.3643,347.401,327.449,436.803
ARG,2.0,1.0,1.0,1.0,1.0,10.0,-0.8173,0.4288,364.864,353.282,318.642
ARG,2.0,1.0,1.0,1.0,1.0,3.0,-0.528,-0.8249,370.019,390.064,341.282
ARG,2.0,2.0,1.0,1.0,1.0,3.0,-0.7754,-1.7532,364.365,414.644,399.434
ARG,2.0,1.0,1.0,1.0,2.0,10.0,-1.3643,-0.4516,389.762,422.98,393.03
ARG,1.0,1.0,1.0,2.0,1.0,6.0,-1.0885,-0.3303,419.485,376.391,406.838
ARG,1.0,2.0,1.0,1.0,1.0,5.0,-0.648,-0.6489,510.131,515.715,448.712
ARG,2.0,1.0,2.0,1.0,1.0,6.0,-1.1553,-1.1176,505.172,519.917,563.748
ARG,2.0,2.0,1.0,1.0,1.0,7.0,-0.0414,0.0726,466.649,417.781,456.692
